index,brand,id,name,price,size,capacity,processor,storage_type
322,ACER,10226598,"ACER Aspire 5 A517-52G 17.3"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver",799,17.3,512,Intel® Core™ i5,SSD
323,ACER,10224421,"ACER Aspire 5 A515-45 15.6"" Laptop - AMD Ryzen 5, 512 GB SSD, Black",549,15.6,512,AMD Ryzen 5,SSD
324,ENTITY,10227014,"ENTITY Rove 14.1"" Laptop Bundle - Intel® Celeron®, 64 GB SSD, Grey",179,14.1,64,Intel® Celeron®,SSD
325,ACER,10224405,"ACER Aspire 5 A515-45 15.6"" Laptop - AMD Ryzen 7, 512 GB SSD, Black",649,15.6,512,AMD Ryzen 7,SSD
326,LG,10233471,"LG GRAM 16Z90P 16"" Laptop - Intel® Core™ i7, 1 TB SSD, Black",1499,16,1024,Intel® Core™ i7,SSD
327,ACER,10229921,"ACER Swift 3 13.5"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver",729,13.5,512,Intel® Core™ i7,SSD
328,MICROSOFT,10230523,"MICROSOFT 13"" Surface Pro 8 - Intel® Core™ i7, 512 GB SSD, Platinum",1779,13,512,Intel® Core™ i7,SSD
329,ACER,10226971,"ACER Aspire 3 15.6"" Laptop - Intel® Core™ i3, 128 GB SSD, Silver",379,15.6,128,Intel® Core™ i3,SSD
330,VENTURER,10220629,"VENTURER Europa Plus 14"" Laptop - Intel® Celeron™, 64 GB SSD, Rose Gold",229,14,64,Intel® Celeron™,SSD
331,ACER,10229052,"ACER ConceptD 3 Ezel 14"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, White",1799.99,14,512,Intel® Core™ i7,SSD
332,ACER,10229051,"ACER ConceptD 3 14"" Laptop - Intel® Core™ i7, 512 GB SSD, White",1499.99,14,512,Intel® Core™ i7,SSD
333,VENTURER,10215488,"VENTURER Europa 11 LT 11.6"" Laptop - Intel® Celeron™, 64 GB SSD, Black",189,11.6,64,Intel® Celeron™,SSD
334,DYNABOOK,10235543,"DYNABOOK Toshiba Portégé X30W-J-130 13.3"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Blue",1199,13.3,512,Intel® Core™ i7,SSD
335,MICROSOFT,10201357,"MICROSOFT 13.5"" Surface 3 Laptop - Intel® Core™ i7, 256 GB SSD, Black",1579,13.5,256,Intel® Core™ i7,SSD
336,VENTURER,10215489,"VENTURER Europa 14 LT 14"" Laptop - Intel® Celeron™, 64 GB SSD, Black",220,14,64,Intel® Celeron™,SSD
